Date,ZAR,EUR,USD
20-09-2022,17.650764,1,0.997044
21-09-2022,17.445869,1,0.983038
22-09-2022,17.313148,1,0.98401
23-09-2022,17.444292,1,0.968964
24-09-2022,17.369876,1,0.968964
25-09-2022,17.395699,1,0.968851
26-09-2022,17.394371,1,0.962232
27-09-2022,17.297473,1,0.959582
28-09-2022,17.347527,1,0.970784
29-09-2022,17.695392,1,0.982922
30-09-2022,17.737872,1,0.980478
01-10-2022,17.737872,1,0.980478
02-10-2022,17.692338,1,0.979235
03-10-2022,17.439178,1,0.983173
04-10-2022,17.614624,1,0.998398
05-10-2022,17.676962,1,0.991066
06-10-2022,17.596381,1,0.978871
07-10-2022,17.519795,1,0.974013
08-10-2022,17.537249,1,0.974013
09-10-2022,17.629799,1,0.973468
10-10-2022,17.571598,1,0.970973
11-10-2022,17.629479,1,0.969984
12-10-2022,17.755684,1,0.970765
13-10-2022,17.784429,1,0.974943
14-10-2022,17.85354,1,0.972337
15-10-2022,17.85354,1,0.972337
16-10-2022,17.792844,1,0.973904
17-10-2022,17.789972,1,0.984443
18-10-2022,17.828387,1,0.986241
19-10-2022,17.834405,1,0.976615
20-10-2022,17.906609,1,0.977856
21-10-2022,17.840918,1,0.986144
22-10-2022,17.835238,1,0.986144
23-10-2022,17.815819,1,0.98595
24-10-2022,18.200719,1,0.988616
25-10-2022,18.139739,1,0.996338
26-10-2022,18.095219,1,1.009158
27-10-2022,17.909923,1,0.996746
28-10-2022,18.072446,1,0.996462
29-10-2022,18.072446,1,0.996462
30-10-2022,18.066854,1,0.995406
31-10-2022,18.137953,1,0.988665
01-11-2022,18.003093,1,0.987884
02-11-2022,17.934377,1,0.981619
03-11-2022,17.947839,1,0.974968
04-11-2022,17.874255,1,0.998352
05-11-2022,17.87424,1,0.998352
06-11-2022,17.879469,1,0.993004
07-11-2022,17.75791,1,1.001828
08-11-2022,17.855228,1,1.007927
09-11-2022,17.795781,1,1.001445
10-11-2022,17.739529,1,1.01942
11-11-2022,17.882013,1,1.037183
12-11-2022,17.883858,1,1.03729
13-11-2022,17.853807,1,1.032818
14-11-2022,17.853879,1,1.031891
15-11-2022,17.926906,1,1.035824
16-11-2022,17.937268,1,1.039426
17-11-2022,17.98912,1,1.036135
18-11-2022,17.85668,1,1.03455
19-11-2022,17.856711,1,1.03455
20-11-2022,17.79965,1,1.033053
21-11-2022,17.762191,1,1.024333
22-11-2022,17.795411,1,1.030954
23-11-2022,17.690167,1,1.041591
24-11-2022,17.709356,1,1.040778
25-11-2022,17.812015,1,1.041445
26-11-2022,17.795977,1,1.041445
27-11-2022,17.791965,1,1.036683
28-11-2022,17.730933,1,1.034313
29-11-2022,17.549045,1,1.032199
30-11-2022,17.871632,1,1.042372
01-12-2022,18.502611,1,1.052798
02-12-2022,18.471477,1,1.053685
03-12-2022,18.476308,1,1.054085
04-12-2022,18.239937,1,1.054196
05-12-2022,18.325206,1,1.049659
06-12-2022,18.139718,1,1.04666
